French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
affaire,case
donner,give
type,type
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
